City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Datetime
Hue,16.47,107.6,68.0,94,75,8.05,VN,1607313777
Arlit,18.74,7.39,71.2,24,0,4.52,NE,1607313777
Tairua,-37.02,175.85,71.01,76,96,8.01,NZ,1607313777
Bethel,41.37,-73.41,30.2,58,1,5.82,US,1607313773
Lorengau,-2.02,147.27,86.54,63,100,8.43,PG,1607313777
Tiksi,71.69,128.87,-13.23,89,100,2.75,RU,1607313777
Kailua,21.4,-157.74,82.4,78,90,9.17,US,1607313777
São Filipe,14.9,-24.5,75.47,73,73,12.68,CV,1607313778
Sisimiut,66.94,-53.67,25.23,95,100,13.62,GL,1607313778
Kavaratti,10.57,72.64,84.2,79,90,5.82,IN,1607313778
Nome,64.5,-165.41,15.8,52,1,10.29,US,1607313730
Tuktoyaktuk,69.45,-133.04,-4.0,83,75,9.17,CA,1607313778
Lismore,-28.81,153.28,87.8,51,100,16.11,AU,1607313705
Kaitangata,-46.28,169.85,61.0,70,39,5.99,NZ,1607313779
Fonte Boa,-2.5,-66.27,73.36,96,100,1.83,BR,1607313779
Okha,53.57,142.95,11.08,90,33,13.4,RU,1607313779
East London,-33.02,27.91,68.0,94,90,18.34,ZA,1607313779
Barrow,71.29,-156.79,-0.4,77,1,9.17,US,1607313614
Bambous Virieux,-20.34,57.76,81.0,83,40,8.05,MU,1607313779
Almaty,43.25,76.95,23.0,92,90,4.47,KZ,1607313780
Kaeo,-35.1,173.78,75.0,75,77,8.99,NZ,1607313739
Silver City,32.77,-108.28,33.8,34,1,10.29,US,1607313780
Pak Phanang,8.35,100.2,87.8,70,40,4.7,TH,1607313780
Preobrazheniye,42.9,133.91,29.37,77,4,6.44,RU,1607313780
Chunoyar,57.45,97.32,12.22,92,100,12.28,RU,1607313781
New Norfolk,-42.78,147.06,57.2,54,75,21.92,AU,1607313781
Bairiki Village,1.33,172.98,86.0,66,75,10.29,KI,1607313781
Vaini,-21.2,-175.2,82.4,83,75,11.41,TO,1607313725
Upernavik,72.79,-56.15,22.8,97,100,6.02,GL,1607313782
Hilo,19.73,-155.09,78.8,69,40,6.93,US,1607313740
Bahía Blanca,-38.72,-62.27,72.72,22,63,15.14,AR,1607313782
Albany,42.6,-73.97,30.0,59,11,1.01,US,1607313736
San Miguel de Tucumán,-26.82,-65.22,66.2,82,0,5.82,AR,1607313687
Nantucket,41.28,-70.1,35.6,59,1,14.99,US,1607313782
Nikolskoye,59.7,30.79,28.0,58,0,8.95,RU,1607313704
Bennington,42.88,-73.2,26.6,68,40,8.05,US,1607313783
Mossamedes,-15.2,12.15,66.4,75,3,7.31,AO,1607313783
Provideniya,64.38,-173.3,19.4,67,0,4.47,RU,1607313783
Avarua,-21.21,-159.78,82.4,78,96,12.75,CK,1607313734
Longyearbyen,78.22,15.64,21.2,85,90,24.16,SJ,1607313784
Lata,40.16,-8.33,53.01,96,83,5.99,PT,1607313784
Ferrol,43.48,-8.24,55.0,87,40,8.05,ES,1607313784
Gayny,60.31,54.32,22.1,97,100,9.44,RU,1607313784
Tonantins,-2.87,-67.8,73.49,97,83,1.45,BR,1607313784
Bouar,5.93,15.6,64.9,40,83,2.08,CF,1607313784
Broken Hill,-31.95,141.43,71.6,30,75,21.92,AU,1607313553
Lompoc,34.64,-120.46,53.6,87,90,3.36,US,1607313785
Ciudad Bolivar,8.12,-63.55,77.09,82,96,9.55,VE,1607313785
Los Llanos de Aridane,28.66,-17.92,62.6,82,75,10.29,ES,1607313785
Buncrana,55.13,-7.45,34.77,89,0,1.16,IE,1607313785
Swift Current,50.28,-107.8,32.0,90,1,14.99,CA,1607313629
Smirnykh,49.75,142.83,21.09,87,83,2.57,RU,1607313786
Tutóia,-2.76,-42.27,80.58,82,88,13.6,BR,1607313786
Atar,20.52,-13.05,59.41,53,67,9.73,MR,1607313786
Sierra Vista,31.55,-110.3,51.8,18,1,9.17,US,1607313584
Khovd,48.01,91.64,3.27,79,4,0.89,MN,1607313786
Castro,-24.79,-50.01,60.03,97,98,6.96,BR,1607313487
Faanui,-16.48,-151.75,80.62,74,94,10.25,PF,1607313786
Rizhao,35.43,119.46,44.19,58,30,14.74,CN,1607313787
Robertsport,6.75,-11.37,79.27,82,9,7.2,LR,1607313787
Yining,29.04,114.56,50.54,68,73,3.0,CN,1607313787
Deputatsky,69.3,139.9,-29.76,83,46,0.58,RU,1607313787
Constitución,-35.33,-72.42,52.07,89,66,4.27,CL,1607313656
Nosy Varika,-20.58,48.53,77.7,81,46,5.35,MG,1607313788
Kuusamo,65.97,29.18,33.8,100,90,8.05,FI,1607313788
Bonthe,7.53,-12.51,78.58,84,69,3.56,SL,1607313788
Pervomayskiy,53.25,40.29,17.83,90,0,6.11,RU,1607313788
Makakilo City,21.35,-158.09,82.4,58,90,11.41,US,1607313727
Bermeo,43.42,-2.72,48.0,87,75,5.82,ES,1607313788
San Quintín,30.48,-115.95,58.48,63,0,7.43,MX,1607313788
Sitka,57.05,-135.33,46.4,75,90,18.34,US,1607313789
El Bordo,2.12,-76.98,64.83,84,99,1.79,CO,1607313789
Grindavik,63.84,-22.43,37.4,93,90,17.22,IS,1607313789
Muroto-misakicho,33.28,134.15,60.8,55,75,3.36,JP,1607313638
Shetpe,44.17,52.12,14.92,94,0,6.51,KZ,1607313789
Waitati,-45.75,170.57,59.0,74,48,18.01,NZ,1607313790
Buchanan,5.88,-10.05,78.39,83,28,3.65,LR,1607313790
Dali,25.7,100.18,53.76,54,25,4.59,CN,1607313567
Bathsheba,13.22,-59.52,78.8,74,20,13.87,BB,1607313790
Arkhara,49.42,130.08,11.43,89,84,4.21,RU,1607313790
Avera,33.19,-82.53,50.0,90,90,5.21,US,1607313790
Mar del Plata,-38.0,-57.56,61.0,76,0,6.93,AR,1607313550
Vila Franca do Campo,37.72,-25.43,55.4,82,40,4.7,PT,1607313791
Mumford,5.26,-0.76,78.67,85,0,9.66,GH,1607313791
Qiongshan,20.01,110.35,71.6,64,75,13.42,CN,1607313791
Walvis Bay,-22.96,14.51,61.0,84,0,1.5,NA,1607313791
Oranjemund,-28.55,16.43,60.39,91,20,6.51,NA,1607313791
Ancud,-41.87,-73.82,51.8,93,0,2.24,CL,1607313791
Saskylakh,71.92,114.08,-9.71,89,100,5.39,RU,1607313791
Pasco,28.29,-82.42,57.0,93,100,5.19,US,1607313618
Garoowe,8.41,48.48,70.54,76,0,8.9,SO,1607313792
Vestmannaeyjar,63.44,-20.27,42.22,77,100,29.97,IS,1607313792
Olafsvik,64.89,-23.71,32.74,96,100,14.38,IS,1607313792
Murree,33.91,73.39,59.0,58,75,9.17,PK,1607313624
Camacupa,-12.02,17.48,61.34,98,100,1.21,AO,1607313493
Hakodate,41.78,140.74,41.0,60,40,13.87,JP,1607313792
Husavik,66.04,-17.34,19.4,79,0,12.39,IS,1607313793
Nanortalik,60.14,-45.24,29.26,93,22,6.6,GL,1607313793
Sirte,31.21,16.59,57.6,47,0,15.17,LY,1607313793
Lebu,-37.62,-73.65,52.75,98,58,9.93,CL,1607313793
Coos Bay,43.37,-124.22,46.4,100,1,6.93,US,1607313686
Saint George,37.1,-113.58,42.8,20,1,2.37,US,1607313683
Porosozero,62.72,32.73,30.63,94,100,9.8,RU,1607313793
Umm Kaddadah,13.6,26.69,67.21,26,0,13.8,SD,1607313794
Tigil',57.8,158.67,9.36,93,6,5.68,RU,1607313794
Barcelos,41.54,-8.62,53.6,93,75,14.99,PT,1607313794
Akureyri,65.68,-18.09,19.4,79,0,4.56,IS,1607313794
Palmer,42.16,-72.33,28.99,63,20,10.29,US,1607313794
Hong Kong,22.29,114.16,71.01,62,0,1.01,HK,1607313612
Noumea,-22.28,166.46,91.4,49,0,10.29,NC,1607313668
Imbituba,-28.24,-48.67,66.2,93,90,3.36,BR,1607313656
Departamento de Maldonado,-34.67,-54.92,59.0,82,0,6.93,UY,1607313715
Hermanus,-34.42,19.23,66.0,86,98,5.99,ZA,1607313724
Hofn,64.25,-15.21,34.63,87,100,10.16,IS,1607313795
Nibong Tebal,5.17,100.48,86.0,66,20,8.05,MY,1607313795
Riyadh,24.69,46.72,51.8,81,0,5.82,SA,1607313591
Lavrentiya,65.58,-171.0,15.06,93,6,10.67,RU,1607313796
Dunedin,-45.87,170.5,59.0,74,63,18.01,NZ,1607313796
Vaitape,-16.52,-151.75,81.46,72,96,10.33,PF,1607313796
Sibolga,1.74,98.78,83.61,70,100,3.36,ID,1607313444
Tambopata,-12.73,-69.18,67.1,97,100,2.28,PE,1607313796
Luba,3.46,8.55,75.2,100,20,4.7,GQ,1607313796
Egvekinot,66.32,-179.17,10.9,86,44,5.41,RU,1607313796
Chishtian,29.8,72.87,70.47,32,6,3.36,PK,1607313797
Polis,35.04,32.43,55.4,82,20,8.05,CY,1607313797
Merrill,45.18,-89.68,28.4,100,90,4.29,US,1607313797
Codrington,-38.27,141.97,57.22,61,25,20.89,AU,1607313797
Ingleside,27.88,-97.21,55.4,71,1,9.06,US,1607313745
Coquimbo,-29.95,-71.34,55.4,87,56,6.93,CL,1607313797
Çarşamba,41.2,36.72,42.8,93,75,4.7,TR,1607313798
Pevek,69.7,170.31,4.05,93,98,2.04,RU,1607313798
Zhuhai,22.28,113.57,73.0,63,20,17.22,CN,1607313798
Saint-Philippe,-21.36,55.77,82.4,69,0,3.36,RE,1607313798
Guerrero Negro,27.98,-114.06,61.03,61,68,9.48,MX,1607313798
Taquara,-29.65,-50.78,64.99,89,96,1.34,BR,1607313799
Yulara,-25.24,130.99,86.0,16,66,10.29,AU,1607313799
Namikupa,-10.83,39.6,74.55,86,19,2.62,TZ,1607313799
Cockburn Town,21.46,-71.14,78.87,75,4,12.24,TC,1607313799
San Felipe,10.34,-68.74,73.29,93,62,1.86,VE,1607313799
Kautokeino,69.01,23.04,17.42,96,97,5.23,NO,1607313800
Sinnamary,5.38,-52.95,78.03,87,76,8.48,GF,1607313800
Lethem,3.38,-59.8,76.59,81,69,8.63,GY,1607313800
Chingirlau,51.09,54.08,3.94,87,7,4.41,KZ,1607313800
Pozoblanco,38.38,-4.85,46.4,93,75,2.24,ES,1607313800
Urucará,-2.54,-57.76,75.56,89,100,1.32,BR,1607313800
Saint-Augustin,51.23,-58.65,34.11,91,100,18.32,CA,1607313801
Isangel,-19.55,169.27,86.0,74,75,5.82,VU,1607313712
Kjøllefjord,70.95,27.35,29.34,91,93,5.01,NO,1607313801
Agirish,61.92,63.02,23.52,94,89,11.54,RU,1607313801
Harper,4.38,-7.72,77.72,81,8,4.03,LR,1607313801
Pitimbu,-7.47,-34.81,77.0,83,20,8.05,BR,1607313801
Narsaq,60.92,-46.05,26.6,58,4,11.41,GL,1607313801
Chokurdakh,70.63,147.92,-19.39,88,99,2.93,RU,1607313700
San Nicolás Guadalupe,19.61,-100.03,57.99,76,40,6.93,MX,1607313802
Oksovskiy,62.61,39.9,27.32,93,100,8.99,RU,1607313802
Sakakah,29.97,40.21,44.6,87,0,4.12,SA,1607313720
Comodoro Rivadavia,-45.87,-67.5,59.0,87,0,11.63,AR,1607313735
Samut Prakan,13.5,100.45,84.99,57,60,4.7,TH,1607313803
Biltine,14.53,20.92,70.11,22,17,8.68,TD,1607313803
Saurimo,-9.66,20.39,61.86,97,27,2.84,AO,1607313803
Shingū,33.73,135.98,60.8,48,75,5.82,JP,1607313803
Ñuñoa,-14.48,-70.64,44.2,78,100,0.92,PE,1607313803
Bontang,0.13,117.5,85.87,69,100,6.2,ID,1607313636
Östersund,63.18,14.64,33.01,96,100,2.24,SE,1607313803
Katsuura,35.13,140.3,61.0,71,20,4.7,JP,1607313741
Lüderitz,-26.65,15.16,57.34,85,0,11.03,NA,1607313804
Ostrovnoy,68.05,39.51,28.33,98,100,2.39,RU,1607313804
Bredasdorp,-34.53,20.04,64.4,88,100,19.46,ZA,1607313731
Iwaki,37.05,140.88,60.01,57,55,1.01,JP,1607313804
Pundaguitan,6.37,126.17,83.88,71,59,3.22,PH,1607313805
Butaritari,3.07,172.79,80.82,79,8,13.4,KI,1607313690
Kolvereid,64.87,11.6,36.61,82,100,6.98,NO,1607313804
Mahébourg,-20.41,57.7,78.8,83,40,8.05,MU,1607313631
Tasiilaq,65.61,-37.64,28.4,50,98,11.41,GL,1607313805
Naze,28.37,129.48,73.4,88,75,11.41,JP,1607313655
Saint Paul Harbor,57.79,-152.41,42.8,87,90,17.22,US,1607313805
Suifenhe,44.4,131.17,16.9,86,4,13.24,CN,1607313806
Wajima,37.4,136.9,55.4,58,40,11.41,JP,1607313806
Aden,12.78,45.04,78.33,71,0,1.88,YE,1607313796
Lillehammer,61.11,10.47,35.47,86,100,4.47,NO,1607313806
Clyde River,70.47,-68.59,5.0,77,90,8.05,CA,1607313737
Hithadhoo,-0.6,73.08,82.33,79,53,15.23,MV,1607313742
Talaya,61.38,152.75,-7.28,88,99,0.69,RU,1607313806
Kenai,60.55,-151.26,30.0,79,90,13.87,US,1607313807
Hirara,24.8,125.28,75.2,83,75,14.99,JP,1607313807
Raudeberg,61.99,5.14,39.99,86,100,12.17,NO,1607313807
Arraial do Cabo,-22.97,-42.03,74.53,90,100,14.12,BR,1607313807
Juneau,58.3,-134.42,44.6,87,90,20.8,US,1607313610
Bulungu,-4.55,18.6,68.14,97,6,2.01,CD,1607313807
Kulhudhuffushi,6.62,73.07,82.15,77,75,8.75,MV,1607313807
North Bend,43.41,-124.22,46.99,100,1,6.93,US,1607313808
Szczytno,53.56,20.99,33.8,74,90,12.75,PL,1607313550
Yenangyaung,20.47,94.88,77.49,51,0,3.47,MM,1607313808
Rundu,-17.93,19.77,70.32,74,100,4.38,NA,1607313808
Mount Isa,-20.73,139.5,100.4,18,40,13.87,AU,1607313808
Fairbanks,64.84,-147.72,8.6,71,90,5.82,US,1607313569
Mackay,-21.15,149.2,90.0,55,40,19.46,AU,1607313627
Penzance,50.12,-5.54,42.8,87,100,16.11,GB,1607313809
Trairi,-3.28,-39.27,79.68,78,100,8.9,BR,1607313809
Huarmey,-10.07,-78.15,66.83,84,93,7.05,PE,1607313809
Musoma,-1.5,33.8,69.8,83,20,6.46,TZ,1607313809
Tokonou,9.65,-9.78,67.69,96,24,4.27,GN,1607313809
Burns Lake,54.23,-125.75,41.0,75,100,2.24,CA,1607313809
Te Anau,-45.42,167.72,62.73,48,14,10.96,NZ,1607313664
Portland,45.52,-122.68,46.0,81,90,4.7,US,1607313605
The Pas,53.83,-101.25,17.6,92,1,4.7,CA,1607313810
Araouane,18.9,-3.53,67.26,39,52,10.02,ML,1607313810
Praia,14.92,-23.51,75.2,69,75,14.99,CV,1607313810
Corinth,37.94,22.96,57.0,67,49,1.99,GR,1607313810
Ous,60.91,61.52,22.96,96,94,5.19,RU,1607313811
Fort Nelson,58.81,-122.7,19.4,92,75,3.36,CA,1607313606
Boa Vista,2.82,-60.67,78.8,78,40,3.36,BR,1607313704
Kholtoson,50.3,103.31,3.33,83,0,2.55,RU,1607313811
Rāvar,31.27,56.81,47.46,84,31,4.07,IR,1607313811
Hambantota,6.12,81.12,82.4,88,20,1.12,LK,1607313811
Tilichiki,60.47,166.1,14.94,98,100,11.14,RU,1607313812
Broome,42.25,-75.83,28.99,73,90,10.29,US,1607313812
Leshukonskoye,64.9,45.76,34.61,97,100,6.24,RU,1607313812
Balabac,7.99,117.06,83.91,77,97,9.33,PH,1607313812
Mīzan Teferī,6.98,35.58,64.31,79,80,2.55,ET,1607313813
Monrovia,6.3,-10.8,78.58,84,15,5.1,LR,1607313690
Gizo Government Station,-8.1,156.84,85.1,69,78,1.72,SB,1607313813
Tonk,26.17,75.78,74.43,24,0,3.85,IN,1607313813
Sovetskaya,44.78,41.17,30.22,92,34,22.24,RU,1607313813
Haines Junction,60.75,-137.51,12.2,85,94,2.24,CA,1607313813
Port Augusta,-32.5,137.77,69.8,43,75,19.46,AU,1607313813
Clemencia,10.57,-75.33,80.6,100,20,5.82,CO,1607313814
Carnarvon,-24.87,113.63,86.0,45,0,14.99,AU,1607313814
Tautira,-17.73,-149.15,80.6,74,75,6.93,PF,1607313814
Ust-Maya,60.42,134.53,-6.66,90,100,3.71,RU,1607313814
Plácido de Castro,-10.34,-67.19,70.2,98,100,1.59,BR,1607313814
Yumen,40.28,97.2,14.49,89,100,7.47,CN,1607313814
Consett,54.85,-1.83,35.01,94,73,1.25,GB,1607313815
Ubari,26.59,12.78,46.18,54,23,2.71,LY,1607313815
The Valley,18.22,-63.06,78.8,74,20,6.93,AI,1607313815
Ponta do Sol,32.67,-17.1,57.99,82,20,5.82,PT,1607313723
Severo-Kuril'sk,50.68,156.12,27.99,89,100,8.72,RU,1607313816
Praia,14.92,-23.51,75.2,69,75,14.99,CV,1607313603
Narimanov,46.69,47.85,6.8,77,0,8.95,RU,1607313816
Cotonou,6.37,2.42,79.86,85,2,9.73,BJ,1607313816
Grinnell,41.74,-92.72,39.2,97,90,12.75,US,1607313771
Natá,8.33,-80.52,74.3,82,73,3.78,PA,1607313816
Christchurch,-43.53,172.63,82.4,23,34,18.34,NZ,1607313604
Kendrapara,20.5,86.42,73.4,78,0,1.12,IN,1607313817
Peruíbe,-24.32,-47.0,70.59,92,100,12.88,BR,1607313817
Podor,16.65,-14.96,71.6,46,0,2.24,MR,1607313817
Yerbogachën,61.28,108.01,9.03,94,100,10.85,RU,1607313817
Manaus,-3.1,-60.02,78.8,88,20,3.36,BR,1607313817
Blagoyevo,63.37,47.92,32.23,98,100,7.63,RU,1607313818
Laas,46.62,10.7,36.0,92,75,4.7,IT,1607313818
Laguna,38.42,-121.42,48.99,65,1,4.38,US,1607313818
Airai,-8.93,125.41,75.83,71,99,3.2,TL,1607313732
Chui,-33.7,-53.46,54.9,78,2,4.03,UY,1607313818
Port Hardy,50.7,-127.42,48.2,93,90,21.92,CA,1607313818
Kreminna,49.05,38.22,19.0,81,0,17.36,UA,1607313759
Borogontsy,62.67,131.17,-12.03,89,99,6.4,RU,1607313819
Madang,-5.22,145.8,84.58,72,92,6.58,PG,1607313819
Tocache,-8.18,-76.51,70.83,88,100,0.27,PE,1607313819
Lagoa,39.05,-27.98,61.03,68,73,8.66,PT,1607313819
Mīnāb,27.15,57.08,71.6,83,75,2.24,IR,1607313819
Homer,59.64,-151.55,33.01,92,90,3.36,US,1607313820
Ndélé,8.41,20.65,70.75,26,91,4.61,CF,1607313820
Inuvik,68.35,-133.72,-5.8,83,100,3.62,CA,1607313653
Talnakh,69.49,88.4,10.4,85,75,13.42,RU,1607313821
Aykhal,66.0,111.5,-9.4,83,90,6.71,RU,1607313821
Harlingen,26.19,-97.7,51.8,76,1,3.36,US,1607313521
Umba,66.69,34.34,35.73,95,100,10.4,RU,1607313821
Meulaboh,4.14,96.13,84.51,65,100,1.14,ID,1607313821
Esim,4.87,-2.24,78.49,84,0,5.88,GH,1607313822
Puerto Ayacucho,5.66,-67.62,73.45,93,90,2.17,VE,1607313822
Eskil,38.4,33.41,40.05,68,0,8.93,TR,1607313822
Dingle,11.0,122.67,84.76,78,100,6.08,PH,1607313822
Pimentel,-6.84,-79.93,66.45,86,100,11.97,PE,1607313822
Dikson,73.51,80.55,-6.36,93,59,9.71,RU,1607313713
Touros,-5.2,-35.46,77.0,88,40,6.93,BR,1607313823
Grand-Lahou,5.14,-5.02,77.67,87,0,8.55,CI,1607313823
Faya,18.39,42.45,51.8,87,0,4.76,SA,1607313823
Kalmunai,7.42,81.82,81.95,78,6,6.89,LK,1607313823
Hamilton,39.18,-84.53,35.6,69,90,5.82,US,1607313666
Thinadhoo,0.53,72.93,82.71,77,100,14.0,MV,1607313823
Tessalit,20.2,1.01,63.82,37,64,6.82,ML,1607313824
Rawson,-43.3,-65.1,82.26,24,51,22.64,AR,1607313765
Bilibino,68.05,166.44,-0.74,90,54,3.56,RU,1607313824
Roebourne,-20.78,117.13,92.46,49,71,15.08,AU,1607313824
Geraldton,-28.77,114.6,100.4,10,0,14.99,AU,1607313824
Margate,51.38,1.39,35.6,100,90,7.78,GB,1607313824
Enid,36.4,-97.88,39.0,100,1,4.7,US,1607313673
Kahului,20.89,-156.47,82.4,58,40,6.93,US,1607313766
Rawlins,41.79,-107.24,17.6,67,1,4.43,US,1607313825
Staryy Nadym,65.61,72.68,26.13,95,47,24.11,RU,1607313825
Kawalu,-7.38,108.21,78.1,80,99,1.39,ID,1607313825
Nara,34.69,135.8,64.0,44,40,2.24,JP,1607313661
General Pico,-35.66,-63.76,63.36,30,82,11.18,AR,1607313825
Tres Arroyos,-38.37,-60.28,64.36,31,0,14.0,AR,1607313826
Andenes,69.31,16.12,33.01,92,10,4.7,NO,1607313826
Genhe,50.78,121.52,1.98,87,83,5.66,CN,1607313826
Florianópolis,-27.61,-48.5,66.2,93,90,3.36,BR,1607313558
Zhangaözen,43.3,52.8,17.2,95,0,13.89,KZ,1607313826
Mount Darwin,-16.77,31.58,68.2,93,99,7.99,ZW,1607313826
Fengzhen,40.44,113.15,10.67,77,0,5.17,CN,1607313826
Ende,-8.84,121.66,87.93,60,86,1.23,ID,1607313827
Beringovskiy,63.05,179.32,17.26,94,60,4.54,RU,1607313827
Vostok,46.49,135.88,11.53,93,100,7.23,RU,1607313687
Bakau,13.48,-16.68,69.8,83,0,2.24,GM,1607313827
Batagay-Alyta,67.8,130.41,-33.39,76,3,0.78,RU,1607313827
Panama City,8.99,-79.52,78.8,94,20,5.82,PA,1607313828
Pacifica,37.61,-122.49,55.0,71,20,9.17,US,1607313828
Sydney Mines,46.24,-60.22,41.0,86,75,11.41,CA,1607313828
Kozhva,65.11,57.05,31.93,99,100,8.19,RU,1607313828
Mahibadhoo,3.78,72.97,82.24,78,91,10.25,MV,1607313828
Raja,8.46,25.68,64.94,27,79,3.4,SS,1607313828
Kavieng,-2.57,150.8,85.51,67,11,11.56,PG,1607313717
Puerto Cabezas,14.04,-83.39,76.51,91,3,6.06,NI,1607313829
Saucillo,28.02,-105.28,40.64,66,0,1.32,MX,1607313829
Labuhan,-6.88,112.21,81.43,83,100,19.48,ID,1607313829
Srednekolymsk,67.45,153.68,-21.37,86,100,2.39,RU,1607313829
Ketchikan,55.34,-131.65,46.4,93,75,13.87,US,1607313829
Serenje,-13.23,30.24,63.73,92,100,2.57,ZM,1607313829
Adrar,20.5,-10.07,55.83,53,100,7.74,MR,1607313830
San Cristobal,7.77,-72.22,64.38,90,92,2.24,VE,1607313702
Nabire,-3.37,135.48,83.89,79,70,5.1,ID,1607313830
Loudi,27.73,111.99,50.41,67,79,7.58,CN,1607313830
Kamaishi,39.27,141.88,46.4,61,75,3.36,JP,1607313830
Antalaha,-14.9,50.28,78.62,68,58,6.04,MG,1607313830
Baruun-Urt,46.68,113.28,0.34,84,0,14.47,MN,1607313742
Richards Bay,-28.78,32.04,71.65,90,56,6.29,ZA,1607313726
Åkersberga,59.48,18.3,44.01,93,100,1.99,SE,1607313831
Okhotsk,59.38,143.3,-9.53,84,0,14.18,RU,1607313831
Whitehorse,60.72,-135.05,28.4,92,20,14.99,CA,1607313666
Westport,41.14,-73.36,33.01,88,1,5.82,US,1607313547
Tam Ky,15.57,108.48,73.4,88,90,1.12,VN,1607313831
Sijunjung,-0.69,100.95,88.11,54,100,1.68,ID,1607313832
Alice Springs,-23.7,133.88,84.99,25,75,10.29,AU,1607313705
Angoche,-16.23,39.91,80.28,74,100,3.22,MZ,1607313832
Hays,30.05,-98.03,48.99,67,0,8.75,US,1607313688
Xining,36.62,101.77,22.87,79,20,2.84,CN,1607313832
Paraty,-23.22,-44.71,73.31,87,100,6.06,BR,1607313638
Belaya Gora,68.53,146.42,-23.35,87,100,1.12,RU,1607313832
Seymchan,62.88,152.43,-11.65,88,100,0.81,RU,1607313833
Osogbo,7.77,4.57,70.47,97,79,2.17,NG,1607313833
Esperance,-33.87,121.9,66.2,52,24,14.99,AU,1607313833
Nizhnyaya Tavda,57.67,66.17,14.0,96,72,5.97,RU,1607313833
